analysis_id,vtvr59f736sxo54
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
gene_symbol,Cntfr
Pvalue,0.08201967
parameter_name,Radius
parameter_id,IMPC_XRY_022_001
mouse_strain,C57BL
