gene_symbol,Toporsl
mouse_life_stage,Early adult
gene_accession_id,MGI:1915524
pvalue,0.7988212
analysis_id,bb51boudrmd63y4
mouse_strain,C57BL
parameter_name,Weight
parameter_id,CCP_LFO_001_001
