analysis_id,88n5yd67zx6q9n1
gene_accession_id,MGI:1913506
parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
parameter_name,Right kidney weight
pvalue,0.3366071
gene_symbol,Ssr2
mouse_life_stage,Early adult
