parameter_id,TCPLA_CSD_030_001
pvalue,0.29358
analysis_id,3cro2jxx2792jjs
mouse_life_stage,E9.5
mouse_strain,C59BL
gene_accession_id,MGI:87968
gene_symbol,Ahcy
parameter_name,Tremor
