analysis_id,70888p6067n1nbn
gene_accession_id,MGI:95457
parameter_id,IMPC_EYE_007_001
mouse_life_stage,E15.5
parameter_name,Cornea
gene_symbol,Mecom
mouse_strain,C57BL
pvalue,0.6603462
