parameter_name,Stroke Volume
mouse_strain,C57BL
parameter_id,IMPC_ECH_003_001
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
analysis_id,ep6jfnb3toajh9l
pvalue,0.9783056
