parameter_name,Center distance travelled
pvalue,0.07028936
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
mouse_strain,C57BL
analysis_id,trr46e20tq215n0
gene_symbol,Ahctf1
parameter_id,JAX_OFD_014_001
