analysis_id,ssdy56s680wygr6
mouse_life_stage,Early adult
pvalue,0.1497735
gene_symbol,AU040320
parameter_name,Resting Treg cells - % of Treg
gene_accession_id,MGI:2140475
parameter_id,MGP_MLN_010_001
mouse_strain,C57BL
