parameter_name,Mean platelet volume
analysis_id,7t779y2mlqkgydu
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
gene_symbol,Rap2b
parameter_id,IMPC_HEM_019_001
pvalue,0.9421967
mouse_strain,C57BL
