analysis_id,no458581j9d048d
parameter_name,DN CD44+CD62L- NKT cells
mouse_strain,C57BL
pvalue,0.3165501
gene_accession_id,MGI:95835
parameter_id,IMPC_IMM_046_001
gene_symbol,Hspa5
mouse_life_stage,Early adult
