parameter_name,Activity (body position)
analysis_id,w7iv8nzwpgu178v
gene_accession_id,MGI:1918345
pvalue,0.1296236
mouse_strain,C58BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_029_001
gene_symbol,Kif24
