gene_symbol,Cmpk1
gene_accession_id,MGI:1913838
pvalue,0.1301194
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,2i3go3j1442802q
parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
