mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,HRWLLA_CBC_014_001
analysis_id,960aukzw36t1vxy
pvalue,0.1314086
gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
parameter_name,Alkaline phosphatase
