analysis_id,pq848dkocl4a43c
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_strain,C57BL
gene_symbol,Bach2
pvalue,0.1087722
mouse_life_stage,Early adult
gene_accession_id,MGI:894679
parameter_id,MGP_IMM_015_001
