parameter_name,Stroke Volume
mouse_strain,C57BL
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
analysis_id,0777727idpcj268
gene_symbol,Zyg11b
parameter_id,IMPC_ECH_003_001
pvalue,0.8880487
