parameter_name,QT
gene_symbol,Frmpd1
parameter_id,IMPC_ECG_028_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
analysis_id,8ek7456x920d593
pvalue,0.4624138
