gene_symbol,Tnni1
parameter_id,IMPC_FEA_003_001
mouse_strain,C57BL
parameter_name,Conditioning Baseline % Freezing Time
gene_accession_id,MGI:105073
pvalue,0.7407433
mouse_life_stage,Early adult
analysis_id,y1qn4u2clq502zl
