gene_symbol,Trpa1
analysis_id,nt5oi8d722gsskv
pvalue,0.4549446
mouse_life_stage,Early adult
parameter_id,TCPLA_GRS_011_001
gene_accession_id,MGI:3522699
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
