parameter_name,Head coat/hair presence
mouse_strain,C57BL
gene_symbol,Hpca
pvalue,0.8337522
analysis_id,79n31qhmnvupl68
parameter_id,MGP_CSD_015_001
gene_accession_id,MGI:1336200
mouse_life_stage,Late adult
