parameter_name,NK cell number
pvalue,0.3946876
gene_accession_id,MGI:97054
parameter_id,MGP_PBI_027_001
analysis_id,04td16z07w11yl5
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Mov10
