analysis_id,492gy3448gr9xy2
parameter_id,JAX_LDT_005_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
parameter_name,Time mobile dark side
mouse_strain,C57BL
gene_symbol,Dhdds
pvalue,0.73124
