parameter_name,Lumbar processes
analysis_id,onndac8o9000r86
gene_symbol,Casq1
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
mouse_strain,C57BL
parameter_id,IMPC_XRY_065_001
pvalue,0.07897271
