analysis_id,06kl99ysenu77u2
parameter_id,MGP_PBI_034_001
gene_accession_id,MGI:1914050
pvalue,0.5313517
gene_symbol,Trp53rkb
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,B cell number
