gene_symbol,Inka2
parameter_id,IMPC_ACS_006_001
analysis_id,cl832ckzsv968x9
parameter_name,Response amplitude - S
gene_accession_id,MGI:1923497
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.05647787
