gene_symbol,Psd4
parameter_name,Time mobile light side
parameter_id,JAX_LDT_003_001
mouse_life_stage,Early adult
pvalue,0.5670937
analysis_id,h5773j661374418
gene_accession_id,MGI:2674093
mouse_strain,C57BL
