analysis_id,oc4625mxup1a1gc
pvalue,0.2427401
gene_accession_id,MGI:891989
parameter_id,IMPC_GEL_028_001
mouse_life_stage,Early adult
gene_symbol,Npbwr1
parameter_name,Forebrain
mouse_strain,C57BL
