analysis_id,355xcopea206z5g
pvalue,0.1217806
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
gene_symbol,Col6a3
mouse_strain,C57BL
parameter_name,Neural tube closure
parameter_id,IMPC_GEL_027_001
