analysis_id,08dppkemh32tj0p
parameter_name,KLRG1+ gd T cells - % of gd T cells
mouse_life_stage,Early adult
parameter_id,MGP_IMM_022_001
gene_accession_id,MGI:1916846
gene_symbol,Ap5s1
pvalue,0.7797389
mouse_strain,C57BL
