parameter_id,JAXLA_HBD_001_001
parameter_name,Total holepokes
mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,0i7q15l1jtqk1bo
gene_accession_id,MGI:109128
gene_symbol,Hnf4a
pvalue,0.941387
