analysis_id,2k3i44ne71cjz6q
parameter_id,IMPC_GEO_009_002
pvalue,0.3797358
mouse_strain,C57BL
gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_name,Hemorrhage
mouse_life_stage,E12.5
