analysis_id,gypazmhd0batkxn
parameter_name,Bone Mineral Content
gene_accession_id,MGI:1924315
mouse_life_stage,Early adult
gene_symbol,Ints7
parameter_id,ESLIM_005_001_005
mouse_strain,C57BL
pvalue,0.4764653
