analysis_id,p558u605o42l844
parameter_id,MGP_PBI_035_001
mouse_life_stage,Early adult
pvalue,0.3958098
gene_symbol,Kifap3
mouse_strain,C57BL
parameter_name,IgD+ mature B cell number
gene_accession_id,MGI:107566
