gene_symbol,Cpa3
analysis_id,8j5jf321i1ll5t3
parameter_name,KLRG1+ gd T cells - % of gd T cells
parameter_id,MGP_IMM_022_001
mouse_strain,C57BL
pvalue,0.6962761
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
