parameter_id,IMPC_XRY_021_001
analysis_id,u1229489bp108rd
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
parameter_name,Humerus
mouse_life_stage,E15.5
mouse_strain,C57BL
pvalue,0.344513
