gene_symbol,Rhbg
pvalue,1.03551
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
parameter_name,Lumbar processes
parameter_id,IMPC_XRY_065_001
mouse_strain,C57BL
analysis_id,k1k828gk0nu1478
