analysis_id,9ir64pk7r96p391
parameter_id,MGP_MLN_063_001
pvalue,0.3964152
mouse_life_stage,Early adult
parameter_name,Total ab T cells - % of CD45+
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
mouse_strain,129SV
