parameter_name,Neural tube closure
mouse_strain,C57BL
gene_accession_id,MGI:2670995
gene_symbol,Trp53i11
analysis_id,p0x6386ci31k578
parameter_id,IMPC_GEL_027_001
pvalue,0.8987812
mouse_life_stage,Early adult
