parameter_name,Limb grasping
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,ESLIM_008_001_017
analysis_id,l541z0db856q0ey
gene_symbol,Dmap1
pvalue,0.47465
gene_accession_id,MGI:1913483
