gene_symbol,Mgst2
analysis_id,624u0234hwv5a17
parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Liver weight
pvalue,0.9026181
gene_accession_id,MGI:2448481
