gene_symbol,Tnni1
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
pvalue,0.2825221
parameter_name,CV
parameter_id,IMPC_ECG_003_001
analysis_id,3mg739p0575rx33
