analysis_id,34svt69x2u839l5
pvalue,0.6614948
parameter_id,MGP_MLN_005_001
gene_accession_id,MGI:1923959
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,129SV
mouse_life_stage,Early adult
gene_symbol,Arpc2
