analysis_id,x0r5vrplvsh80x1
gene_accession_id,MGI:1917810
parameter_name,Triglycerides
pvalue,0.8121739
parameter_id,HMGULA_CBC_017_001
mouse_strain,C57BL
gene_symbol,Wars2
mouse_life_stage,E12.5
