mouse_life_stage,Late adult
mouse_strain,C57BL
analysis_id,vyz064x4oe2fwoa
parameter_id,IMPC_HEM_019_001
pvalue,0.5178531
gene_symbol,Hpca
parameter_name,Mean platelet volume
gene_accession_id,MGI:1336200
