gene_symbol,Tiprl
analysis_id,v9671l86gxq2pn0
parameter_name,Snout size
gene_accession_id,MGI:1915087
parameter_id,MGP_CSD_067_001
pvalue,0.6992861
mouse_strain,C57BL
mouse_life_stage,E9.5
