gene_symbol,Stk35
analysis_id,0e7n506x45k56t0
mouse_strain,C57BL
pvalue,0.8285827
gene_accession_id,MGI:1914583
mouse_life_stage,Early adult
parameter_name,Naive CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_015_001
