analysis_id,lm0bah2pb7w07h8
pvalue,0.6804612
mouse_strain,C57BL
gene_accession_id,MGI:1915087
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_life_stage,E9.5
gene_symbol,Tiprl
parameter_id,IMPC_GRS_009_001
