analysis_id,1w3cxxyy5364wl2
mouse_strain,C57BL
parameter_id,IMPC_CBC_005_001
pvalue,0.8619231
gene_accession_id,MGI:2446274
parameter_name,Creatinine
mouse_life_stage,Early adult
gene_symbol,Frmpd1
