analysis_id,44jpwvrxy6c8p12
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
parameter_name,CD4+ alpha beta T cell percentage
parameter_id,MGP_PBI_003_001
gene_symbol,Dhdds
pvalue,0.438204
mouse_strain,C57BL
