gene_symbol,ABO
mouse_strain,C57BL
gene_accession_id,MGI:2135738
parameter_name,Chloride
pvalue,0.3184189
mouse_life_stage,Early adult
analysis_id,0h8yeiw619bao07
parameter_id,HMGULA_CBC_003_001
