analysis_id,xbsv07n4xw463k6
gene_symbol,Atrn
parameter_name,% Pre-pulse inhibition - PPI1
mouse_strain,C57BL
pvalue,0.9805668
parameter_id,IMPC_ACS_033_001
gene_accession_id,MGI:1341628
mouse_life_stage,Early adult
