parameter_name,Sodium
pvalue,0.7703768
parameter_id,IMPC_CBC_001_001
gene_symbol,Psd4
analysis_id,ftsx954w46x494g
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
mouse_strain,C57BL
