gene_symbol,Atg4c
gene_accession_id,MGI:2651854
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,6342966q9gck87j
parameter_id,MGP_IMM_125_001
pvalue,0.1028552
parameter_name,Eosinophils - % of CD45+
