analysis_id,d4lsc7wrv97g889
gene_accession_id,MGI:1918025
parameter_name,center - distance
parameter_id,M-G-P_007_001_010
mouse_life_stage,Early adult
pvalue,0.3396961
gene_symbol,Zmynd8
mouse_strain,C57BL
