gene_symbol,Wars2
analysis_id,92928a87y18m45q
mouse_strain,C57BL
parameter_name,Lumbar processes
mouse_life_stage,Early adult
pvalue,0.2142404
gene_accession_id,MGI:1917810
parameter_id,IMPC_XRY_065_001
