parameter_name,Body Length
pvalue,0.4610453
gene_accession_id,MGI:2444554
analysis_id,17h4zv5r12184g6
mouse_life_stage,E15.5
mouse_strain,C57BL
gene_symbol,Mapkap1
parameter_id,M-G-P_005_001_006
