gene_symbol,Il1r1
analysis_id,6st8qw838f16891
parameter_name,Center resting time
parameter_id,JAX_OFD_015_001
pvalue,0.5334573
gene_accession_id,MGI:96545
mouse_life_stage,Early adult
mouse_strain,C57BL
