analysis_id,4azsf001200rrc4
pvalue,0.3197425
gene_symbol,Psd4
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
mouse_strain,C57BL
parameter_id,MGP_IMM_071_001
gene_accession_id,MGI:2674093
