parameter_name,Corneal opacity
parameter_id,IMPC_EYE_008_001
pvalue,0.1765244
gene_symbol,Trp53i11
mouse_life_stage,Early adult
analysis_id,xq10s01zh6z0hbu
mouse_strain,C57BL
gene_accession_id,MGI:2670995
