analysis_id,3hhfk5fjhxo6xut
parameter_name,Click-evoked ABR threshold
pvalue,0.8061371
gene_symbol,Gja10
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1339969
parameter_id,IMPC_ABR_002_001
