analysis_id,3xpr91c9835498q
parameter_id,MGP_MLN_067_001
parameter_name,Resting CD4+ T helper cells - % of CD45+
pvalue,0.6303422
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Zfp683
gene_accession_id,MGI:3650254
