mouse_strain,129SV
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
parameter_id,IMPC_HWT_008_001
gene_symbol,Inpp1
parameter_name,Heart weight
analysis_id,66uv163720c1u1j
pvalue,0.2788911
