Gene_symbol,Ufc1
Gene_accession_id,MGI:1913405
Mouse_life_stage,Early adult
Parameter_id,IMPC_GEL_029_001
Mouse_strain,C57BL
Parameter_name,Midbrain
Pvalue,0.7257566
Analysis_id,f397to99134804r
