analysis_id,vn2c28sl553c974
mouse_strain,C57BL
pvalue,0.2631204
mouse_life_stage,Early adult
gene_symbol,Rab3gap2
parameter_id,MGP_MLN_033_001
gene_accession_id,MGI:1916043
parameter_name,Resting NK cells - % of NK cells
