parameter_name,LVIDd
pvalue,0.1271846
analysis_id,0zut6i4lu38i2a7
parameter_id,IMPC_ECH_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
mouse_strain,C57BL
gene_symbol,Mms22l
